,20.0,40.0,60.0,80.0
2017-10-14,236.5236295612201,167.247462373567,136.55698119687523,118.26181478061022
2017-10-15,232.93396369050726,164.7091852941975,134.48448664012264,116.4669818452538
2017-10-16,224.71152777584334,158.89504510107707,129.73726105139548,112.3557638879218
2017-10-17,219.33187407180117,155.0910554865175,126.63131653721966,109.6659370359007
2017-10-18,218.69114186497396,154.63798939814563,126.26138962512948,109.34557093248709
2017-10-19,227.5992624707369,160.9369818861018,131.40449545484063,113.79963123536858
2017-10-20,236.05352675389622,166.9150494906443,136.2855672145207,118.0267633769483
2017-10-21,235.52633825247923,166.54227092632937,135.98119479132086,117.7631691262398
2017-10-22,232.1525334315793,164.15663065908143,134.03332766977573,116.07626671578981
2017-10-23,227.77172896335938,161.05893411256199,131.50406903078226,113.88586448167982
2017-10-24,224.44737084168975,158.70825794163966,129.58474997435357,112.223685420845
2017-10-25,221.87515658665362,156.88942779924042,128.09968138179502,110.93757829332692
2017-10-26,227.3336137149514,160.74913984947253,131.25112307417785,113.66680685747585
2017-10-27,233.76018388786667,165.29341119850645,134.96150509347567,116.88009194393351
2017-10-28,235.10154945228447,166.24189988514877,135.7359428631736,117.55077472614242
